accession	original_accession	description	length	taxonomy	organism	source
NC_028999.1	NC_028999.1	Pseudomonas phage PhiPA3, complete genome [Contaminant]	309208	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;Miltoncavirus;Miltoncavirus PhiPA3	Pseudomonas phage PhiPA3	Pseudomonas phage PhiPA3
NC_024365.1	NC_024365.1	Pseudomonas phage phiPSA1, complete genome [Contaminant]	51090	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes	Pseudomonas phage phiPSA1	Pseudomonas phage phiPSA1 (phiPSA1)
NC_023601.1	NC_023601.1	Pseudomonas phage phiPsa374, complete genome [Contaminant]	97906	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;Caudovirales;Myoviridae;Otagovirus;Pseudomonas virus Psa374	Pseudomonas phage phiPsa374	Pseudomonas phage phiPsa374
NC_016765.1	NC_016765.1	Pseudomonas phage PMG1, complete genome [Contaminant]	54024	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;Detrevirus;Detrevirus PMG1	Pseudomonas phage PMG1	Pseudomonas phage PMG1
NC_023006.1	NC_023006.1	Pseudomonas phage PPpW-3 DNA, complete sequence [Contaminant]	43564	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;Hiroshimavirus;Hiroshimavirus PPpW3	Pseudomonas phage PPpW-3	Pseudomonas phage PPpW-3
NC_017971.2	NC_017971.2	Pseudomonas phage tf complete genome [Contaminant]	46271	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;Krylovvirus;Krylovvirus tf	Pseudomonas phage tf	Pseudomonas phage tf
LN610572.1	LN610572.1	Pseudomonas phage vB_PaeM_C2-10_Ab02, complete genome [Contaminant]	93848	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;Pakpunavirus;Pakpunavirus CAb02	Pseudomonas phage vB_PaeM_C2-10_Ab02	Pseudomonas phage vB_PaeM_C2-10_Ab02
NC_019918.1	NC_019918.1	Pseudomonas phage vB_PaeM_C2-10_Ab1 complete genome [Contaminant]	92777	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;Pakpunavirus;Pakpunavirus CAb1	Pseudomonas phage vB_PaeM_C2-10_Ab1	Pseudomonas phage vB_PaeM_C2-10_Ab1
NC_026587.1	NC_026587.1	Pseudomonas phage vB_PaeM_PAO1_Ab03, complete genome [Contaminant]	86246	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;Nankokuvirus;Nankokuvirus Ab03	Pseudomonas phage vB_PaeM_PAO1_Ab03	Pseudomonas phage vB_PaeM_PAO1_Ab03
NC_023575.1	NC_023575.1	Pseudomonas phage vB_PaeP_Tr60_Ab31 [Contaminant]	45550	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes	Pseudomonas phage vB_PaeP_Tr60_Ab31	Pseudomonas phage vB_PaeP_Tr60_Ab31
NC_026601.1	NC_026601.1	Pseudomonas phage vB_PaeS_PAO1_Ab30, complete genome [Contaminant]	37238	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;Casadabanvirus;Casadabanvirus Ab30	Pseudomonas phage vB_PaeS_PAO1_Ab30	Pseudomonas phage vB_PaeS_PAO1_Ab30
NC_024381.1	NC_024381.1	Pseudomonas phage vB_PaeS_SCH_Ab26, complete genome [Contaminant]	43056	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;Septimatrevirus;Septimatrevirus Ab26	Pseudomonas phage vB_PaeS_SCH_Ab26	Pseudomonas phage vB_PaeS_SCH_Ab26
NC_010116.1	NC_010116.1	Pseudomonas phage YuA, complete genome [Contaminant]	58663	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;Mesyanzhinovviridae;Rabinowitzvirinae;Yuavirus	Pseudomonas virus Yua	Pseudomonas virus Yua
NC_020841.1	NC_020841.1	Psychrobacter phage pOW20-A genomic sequence [Contaminant]	40803	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes	Psychrobacter phage pOW20-A	Psychrobacter phage pOW20-A
NC_021864.1	NC_021864.1	Puniceispirillum phage HMO-2011, complete genome [Contaminant]	55282	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes	Puniceispirillum phage HMO-2011	Puniceispirillum phage HMO-2011
NC_028988.1	NC_028988.1	Ralstonia phage RSJ2 DNA, complete genome [Contaminant]	44360	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;Autographiviridae;Okabevirinae;Risjevirus;Risjevirus RSJ2	Ralstonia phage RSJ2	Ralstonia phage RSJ2
NC_022915.1	NC_022915.1	Ralstonia phage RSK1 DNA, complete genome [Contaminant]	40471	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;Firingavirus;Firingavirus RSK1	Ralstonia phage RSK1	Ralstonia phage RSK1
NC_020489.1	NC_020489.1	Rhodobacter phage RcapNL, complete genome [Contaminant]	40489	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;Capnelvirus;Capnelvirus RcapNL	Rhodobacter phage RcapNL	Rhodobacter phage RcapNL
NC_023735.1	NC_023735.1	Rhodococcus phage ReqiPepy6, complete genome [Contaminant]	76797	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;Pepyhexavirus;Pepyhexavirus pepy6	Rhodococcus phage ReqiPepy6	Rhodococcus phage ReqiPepy6
NC_002519.1	NC_002519.1	Roseophage SIO1 complete genome [Contaminant]	39898	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;Zobellviridae;Cobavirinae;Siovirus;Siovirus americense	Roseobacter phage SIO1	Roseobacter phage SIO1
NC_020844.1	NC_020844.1	Salicola phage CGphi29 genomic sequence [Contaminant]	40695	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes	Salicola phage CGphi29	Salicola phage CGphi29
NC_019540.1	NC_019540.1	Salinivibrio phage CW02, complete genome [Contaminant]	49390	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;Zobellviridae;Salinovirus;Salinovirus utanense	Salinivibrio phage CW02	Salinivibrio phage CW02
NC_021775.1	NC_021775.1	Salmonella phage FSL SP-031, complete genome [Contaminant]	42215	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;Guernseyvirinae;Cornellvirus;Cornellvirus SP31	Salmonella phage FSL SP-031	Salmonella phage FSL SP-031
NC_021772.1	NC_021772.1	Salmonella phage FSL SP-058, complete genome [Contaminant]	72394	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;Schitoviridae;Humphriesvirinae;Ithacavirus;Ithacavirus SP058	Salmonella phage FSL SP-058	Salmonella phage FSL SP-058
KC139634.1	KC139634.1	Salmonella phage FSL SP-062 hypothetical protein gene, partial cds; and capsid related protein, hypothetical proteins, tail length tape measure protein, hypothetical protein, enolase-like protein, hypothetical protein, tail protein, tail fiber, hypothetical protein, putative endolysin, hypothetical proteins, DNA methylase, hypothetical proteins, and DNA polymerase genes, complete cds [Contaminant]	21114	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;Nonanavirus	Salmonella phage FSL SP-062	Salmonella phage FSL SP-062
NC_021782.1	NC_021782.1	Salmonella phage FSL SP-076, complete genome [Contaminant]	72098	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;Schitoviridae;Humphriesvirinae;Ithacavirus;Ithacavirus SP076	Salmonella phage FSL SP-076	Salmonella phage FSL SP-076
NC_013059.1	NC_013059.1	Salmonella phage c341, complete genome [Contaminant]	40975	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;Lederbergvirus	Salmonella phage g341c	Salmonella phage g341c
NC_022768.1	NC_022768.1	Salmonella phage Maynard, complete genome [Contaminant]	154701	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;Ackermannviridae;Cvivirinae;Kuttervirus;Kuttervirus maynard	Salmonella phage Maynard	Salmonella phage Maynard
NC_019417.1	NC_019417.1	Salmonella phage SPN19, complete genome [Contaminant]	59203	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;Casjensviridae;Chivirus;Chivirus SPN19	Salmonella phage SPN19	Salmonella phage SPN19
NC_027351.1	NC_027351.1	Salmonella phage SSE-121, complete genome [Contaminant]	147745	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;Vequintavirinae;Seunavirus;Seunavirus SSE121	Salmonella phage SSE121	Salmonella phage SSE121
NC_027297.1	NC_027297.1	Salmonella phage Stitch, complete genome [Contaminant]	123475	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;Demerecviridae;Markadamsvirinae;Epseptimavirus;Epseptimavirus stitch	Salmonella phage Stitch	Salmonella phage Stitch
NC_018279.1	NC_018279.1	Salmonella phage vB_SosS_Oslo, complete genome [Contaminant]	49116	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes	Salmonella phage vB_SosS_Oslo	Salmonella phage vB_SosS_Oslo
NC_015271.1	NC_015271.1	Salmonella phage Vi06 complete sequence [Contaminant]	38368	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;Autographiviridae;Studiervirinae;Teseptimavirus;Teseptimavirus Vi06	Salmonella phage Vi06	Salmonella phage Vi06
NC_025436.1	NC_025436.1	Shewanella sp. phage 1/4, complete genome [Contaminant]	133824	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes	Shewanella sp. phage 1/4	Shewanella sp. phage 1/4
NC_025470.1	NC_025470.1	Shewanella sp. phage 1/40, complete genome [Contaminant]	139004	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes	Shewanella sp. phage 1/40	Shewanella sp. phage 1/40
NC_025458.1	NC_025458.1	Shewanella sp. phage 1/41, complete genome [Contaminant]	43510	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes	Shewanella sp. phage 1/41	Shewanella sp. phage 1/41
NC_005344.1	NC_005344.1	Enterobacteria phage Sf6, complete genome [Contaminant]	39043	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;Lederbergvirus;Lederbergvirus Sf6	Shigella phage Sf6	Shigella phage Sf6
HQ632855.1	HQ632855.1	Ruegeria phage DSS3-P1, *** SEQUENCING IN PROGRESS ***, 6 unordered pieces [Contaminant]	60467	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;Casjensviridae	Ruegeria phage DSS3-P1	Ruegeria phage DSS3-P1
NC_029046.1	NC_029046.1	Sinorhizobium phage phiLM21, complete genome [Contaminant]	50827	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes	Sinorhizobium phage phiLM21	Sinorhizobium phage phiLM21
NC_027204.1	NC_027204.1	Sinorhizobium phage phiM12, complete genome [Contaminant]	194701	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;Emdodecavirus;Emdodecavirus M12	Sinorhizobium phage phiM12	Sinorhizobium phage phiM12
NC_007902.1	NC_007902.1	Sodalis phage phiSG1, complete genome [Contaminant]	52162	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes	Sodalis phage phiSG1	Sodalis phage phiSG1
NC_019521.1	NC_019521.1	Sphingomonas phage PAU, complete genome [Contaminant]	219372	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes	Sphingomonas phage PAU	Sphingomonas phage PAU
JX080305.2	JX080305.2	Staphylococcus phage P4W, complete genome [Contaminant]	147590	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;Herelleviridae;Twortvirinae;Kayvirus;Kayvirus G1	Staphylococcus phage P4W	Staphylococcus phage P4W
NC_007058.1	NC_007058.1	Staphylococcus phage ROSA, complete genome [Contaminant]	43155	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;Azeredovirinae;Phietavirus;Phietavirus ROSA	Staphylococcus phage ROSA	Staphylococcus phage ROSA
NC_007021.1	NC_007021.1	Staphylococcus phage Twort, complete genome [Contaminant]	130706	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;Herelleviridae;Twortvirinae;Twortvirus;Twortvirus twort	Staphylococcus phage Twort	Staphylococcus phage Twort
NC_023582.1	NC_023582.1	Staphylococcus phage vB_SepS_SEP9, complete genome [Contaminant]	92417	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;Sextaecvirus;Sextaecvirus SEP9	Staphylococcus phage vB_SepS_SEP9	Staphylococcus phage vB_SepS_SEP9
NC_007065.1	NC_007065.1	Staphylococcus phage X2, complete genome [Contaminant]	43440	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;Azeredovirinae;Phietavirus;Phietavirus X2	Staphylococcus phage X2	Staphylococcus phage X2
DQ364602.1	DQ364602.1	Stenotrophomonas phage SMB14 GP13-neck protein (gp13), hypothetical protein, GP14-neck protein (gp14), GP15-tail sheath stabilizer (gp15), GP16-terminase (gp16), GP17-terminase (gp17), GP18-tail sheath protein (gp18), GP19-tail tube protein (gp19), GP20-portal vertex protein of head (gp20), GP68-prohead core protein (gp68), GP21-prohead protease (gp21), GP22-prohead core protein (gp22), and GP23-major capsid protein (gp23) genes, complete cds [Contaminant]	16703	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;Straboviridae;Tevenvirinae;Tequatrovirus	Stenotrophomonas phage Smp14	Stenotrophomonas phage Smp14
NC_010945.1	NC_010945.1	Streptococcus phage PH15, complete genome [Contaminant]	39136	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;Aliceevansviridae	Streptococcus phage PH15	Streptococcus phage PH15
NC_021868.1	NC_021868.1	Streptococcus phage SP-QS1 complete genome [Contaminant]	58305	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;Saphexavirus;Saphexavirus SPQS1	Streptococcus phage SP-QS1	Streptococcus phage SP-QS1
NC_027396.1	NC_027396.1	Streptococcus phage SpSL1, complete genome [Contaminant]	33756	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes	Streptococcus phage SpSL1	Streptococcus phage SpSL1
NC_019414.1	NC_019414.1	Streptomyces phage R4, complete genome [Contaminant]	51071	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;Arquatrovirinae;Arequatrovirus;Arequatrovirus R4	Streptomyces phage R4	Streptomyces phage R4
NC_012696.1	NC_012696.1	Roseophage EE36P1, complete genome [Contaminant]	73325	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;Schitoviridae;Rhodovirinae;Aorunvirus;Aorunvirus EE36phi1	Sulfitobacter phage EE36phi1	Sulfitobacter phage EE36phi1
NC_027299.1	NC_027299.1	Sulfitobacter phage NYA-2014a, complete genome [Contaminant]	42092	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes	Sulfitobacter phage NYA-2014a	Sulfitobacter phage NYA-2014a
NC_023587.1	NC_023587.1	Synechococcus phage S-MbCM7, complete genome [Contaminant]	189311	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;Kyanoviridae;Sedonavirus;Sedonavirus tusconh	Synechococcus phage ACG-2014h	Synechococcus phage ACG-2014h
NC_025455.1	NC_025455.1	Synechococcus phage S-CBP2, complete genome [Contaminant]	46237	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;Autographiviridae;Kembevirus;Kembevirus SCBP2	Synechococcus phage S-CBP2	Synechococcus phage S-CBP2
NC_015463.1	NC_015463.1	Synechococcus phage S-CBS2, complete genome [Contaminant]	72332	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes	Synechococcus phage S-CBS2	Synechococcus phage S-CBS2
NC_015465.1	NC_015465.1	Synechococcus phage S-CBS3, complete genome [Contaminant]	33004	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes	Synechococcus phage S-CBS3	Synechococcus phage S-CBS3
NC_016766.1	NC_016766.1	Synechococcus phage S-CBS4, complete genome [Contaminant]	69420	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes	Synechococcus phage S-CBS4	Synechococcus phage S-CBS4
NC_015569.1	NC_015569.1	Synechococcus phage S-CRM01, complete genome [Contaminant]	178563	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;Kyanoviridae	Synechococcus phage S-CRM01	Synechococcus phage S-CRM01
NC_023584.1	NC_023584.1	Synechococcus phage S-MbCM100, complete genome [Contaminant]	170438	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;Kyanoviridae;Acionnavirus;Acionnavirus monteraybay	Synechococcus phage S-MbCM100	Synechococcus phage S-MbCM100
NC_006820.1	NC_006820.1	Synechococcus phage S-PM2, complete genome [Contaminant]	196280	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;Kyanoviridae;Nodensvirus;Nodensvirus spm2	Synechococcus phage S-PM2	Synechococcus phage S-PM2
NC_013085.1	NC_013085.1	Synechococcus phage S-RSM4, complete genome [Contaminant]	194454	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;Kyanoviridae;Gibbetvirus;Gibbetvirus rsm4	Synechococcus phage S-RSM4	Synechococcus phage S-RSM4
NC_020851.1	NC_020851.1	Synechococcus phage S-SKS1 genomic sequence [Contaminant]	208007	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;Llyrvirus;Llyrvirus SSKS1	Synechococcus phage S-SKS1	Synechococcus phage S-SKS1
NC_015279.1	NC_015279.1	Synechococcus phage S-SM2, complete genome [Contaminant]	190789	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;Kyanoviridae;Nilusvirus;Nilusvirus ssm2	Synechococcus phage S-SM2	Synechococcus phage S-SM2
NC_019930.1	NC_019930.1	Tetrasphaera phage TJE1, complete genome [Contaminant]	49219	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;Tijeunavirus;Tijeunavirus TJE1	Tetrasphaera phage TJE1	Tetrasphaera phage TJE1
NC_009990.1	NC_009990.1	Thalassomonas phage BA3, complete genome [Contaminant]	37313	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes	Thalassomonas phage BA3	Thalassomonas phage BA3
AY456121.1	AY456121.1	Uncultured cyanophage clone BAC9D04 hypothetical protein, head-tail connector protein, capsid assembly protein, and PSII D1 protein (psbA) genes, complete cds; and unknown genes [Contaminant]	5516	Viruses;environmental samples	uncultured cyanophage	uncultured cyanophage
KF689242.1	KF689242.1	Uncultured Gokushovirinae clone SEW_C06 major capsid protein gene, partial cds [Contaminant]	843	Viruses;Monodnaviria;Sangervirae;Phixviricota;Malgrandaviricetes;Petitvirales;Microviridae;environmental samples	Gokushovirinae environmental samples	Gokushovirinae environmental samples
KC131001.1	KC131001.1	Uncultured marine Microviridae clone SOG1-01 major capsid protein gene, partial cds [Contaminant]	835	Viruses;Monodnaviria;Sangervirae;Phixviricota;Malgrandaviricetes;Petitvirales;Microviridae;environmental samples	uncultured marine Microviridae	uncultured marine Microviridae
HQ157199.1	HQ157199.1	Uncultured Microviridae clone SARssphi1, complete genome [Contaminant]	4487	Viruses;Monodnaviria;Sangervirae;Phixviricota;Malgrandaviricetes;Petitvirales;Microviridae;environmental samples	uncultured Microviridae	uncultured Microviridae
AB812911.1	AB812911.1	Uncultured Myoviridae nrdA, nblA, g04, g03, nrdB genes for ribonucleoside-diphosphate reductase alpha subunit, phycobilisome degradation protein NblA, hypothetical protein, putative RNA ligase, ribonucleoside-diphosphate reductase beta subunit, partial and complete cds, clone: HP200916 [Contaminant]	2389	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;environmental samples	Myoviridae environmental samples	Myoviridae environmental samples
HM011609.1	HM011609.1	Uncultured phage PlyM21 (plyM21) gene, complete cds [Contaminant]	1092	Viruses;environmental samples	uncultured phage	uncultured phage
NC_024711.1	NC_024711.1	Carjivirus communis, complete genome [Contaminant]	97065	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;Crassvirales;Intestiviridae;Crudevirinae;Carjivirus	Carjivirus communis	Carjivirus communis
FJ695605.1	FJ695605.1	Uncultured T7-like podovirus clone LP2 genomic sequence [Contaminant]	976	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;environmental samples	uncultured T7-like podovirus	uncultured T7-like podovirus
NC_020843.1	NC_020843.1	Vibrio phage 11895-B1 genomic sequence [Contaminant]	126434	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes	Vibrio phage 11895-B1	Vibrio phage 11895-B1
NC_021067.1	NC_021067.1	Vibrio phage helene 12B3 genomic sequence [Contaminant]	135982	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes	Vibrio phage helene 12B3	Vibrio phage helene 12B3
NC_021073.1	NC_021073.1	Vibrio phage henriette 12B8, complete genome [Contaminant]	107218	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes	Vibrio phage henriette 12B8	Vibrio phage henriette 12B8
NC_015157.1	NC_015157.1	Vibrio phage ICP1, complete genome [Contaminant]	125956	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;Mohonavirus;Mohonavirus ICP1	Vibrio phage ICP1	Vibrio phage ICP1
HQ641346.1	HQ641346.1	Vibrio phage ICP2_2006_A, complete genome [Contaminant]	48626	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;Zobellviridae;Icepovirus;Icepovirus bengalense	Vibrio phage ICP2_2006_A	Vibrio phage ICP2_2006_A
NC_024791.1	NC_024791.1	Vibrio phage ICP2_2013_A_Haiti, complete genome [Contaminant]	50440	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;Zobellviridae;Icepovirus	Vibrio phage ICP2_2013_A_Haiti	Vibrio phage ICP2_2013_A_Haiti
NC_021540.1	NC_021540.1	Vibrio phage JA-1, complete genome [Contaminant]	69278	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;Schitoviridae;Pacinivirus;Pacinivirus VCO139	Vibrio phage JA-1	Vibrio phage JA-1
HQ632860.1	HQ632860.1	Vibrio phage jenny 12G5 genomic sequence [Contaminant]	40557	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes	Vibrio phage jenny 12G5	Vibrio phage jenny 12G5
NC_028895.1	NC_028895.1	Vibrio phage phi 3, complete genome [Contaminant]	116138	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;Demerecviridae;Ermolyevavirinae;Jesfedecavirus;Jesfedecavirus phi3	Vibrio phage phi 3	Vibrio phage phi 3
NC_027118.1	NC_027118.1	Vibrio phage phiVC8, complete genome [Contaminant]	39422	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;Enhodamvirus;Enhodamvirus VC8	Vibrio phage phiVC8	Vibrio phage phiVC8
NC_023605.1	NC_023605.1	Vibrio phage PVA1, complete genome [Contaminant]	41529	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes	Vibrio phage PVA1	Vibrio phage PVA1
NC_019529.1	NC_019529.1	Vibrio phage pVp-1, complete genome [Contaminant]	111506	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;Demerecviridae;Ermolyevavirinae;Vipunavirus;Vipunavirus pVp1	Vibrio phage pVp-1	Vibrio phage pVp-1
NC_020863.1	NC_020863.1	Vibrio phage PWH3a-P1 genomic sequence [Contaminant]	129155	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes	Vibrio phage PWH3a-P1	Vibrio phage PWH3a-P1
NC_021534.1	NC_021534.1	Vibrio phage pYD38-A genomic sequence [Contaminant]	47552	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;Roufvirus;Roufvirus pIS4A	Vibrio phage pYD38-A	Vibrio phage pYD38-A
NC_021561.1	NC_021561.1	Vibrio phage pYD38-B genomic sequence [Contaminant]	37324	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes	Vibrio phage pYD38-B	Vibrio phage pYD38-B
NC_023569.1	NC_023569.1	Vibrio phage SHOU24, complete genome [Contaminant]	77837	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes	Vibrio phage SHOU24	Vibrio phage SHOU24
NC_020868.1	NC_020868.1	Vibrio phage VBP32 genomic sequence [Contaminant]	76718	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;Schitoviridae;Fuhrmanvirinae;Stoningtonvirus;Stoningtonvirus VBP47	Vibrio phage VBP32	Vibrio phage VBP32
KJ936628.1	KJ936628.1	Vibrio phage VPp1, complete genome [Contaminant]	50431	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes	Vibrio phage VPp1	Vibrio phage VPp1
NC_003907.2	NC_003907.2	Vibrio phage VpV262, complete genome [Contaminant]	46012	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;Zobellviridae;Vipivirus;Vipivirus canadense	Vibrio phage VpV262	Vibrio phage VpV262
NC_020488.1	NC_020488.1	Vibrio phage VvAW1, complete genome [Contaminant]	38682	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes	Vibrio phage VvAW1	Vibrio phage VvAW1
JN849462.1	JN849462.1	Vibriophage phi-pp2, complete genome [Contaminant]	246421	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;Straboviridae;Schizotequatrovirus;Schizotequatrovirus KVP40	Vibrio phage phi-pp2	Vibrio phage phi-pp2
NC_020205.1	NC_020205.1	Xanthomonas citri phage CP2 DNA, complete genome [Contaminant]	42963	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes	Xanthomonas citri phage CP2	Xanthomonas citri phage CP2
AJ972879.2	AJ972879.2	Yersinia phage phiR1-37 complete genome [Contaminant]	262391	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes	Yersinia phage phiR1-37	Yersinia phage phiR1-37
OR537218.1	OR537218	MAG: Amphisbainavirus JDuan-2023a isolate FDB2, complete genome [Contaminant]	909		Amphisbainavirus JDuan-2023a Viruses.	Amphisbainavirus JDuan-2023a (reagents metagenome)
OR537220.1	OR537220	MAG: Amphisbainavirus JDuan-2023a isolate FDB5, complete genome [Contaminant]	934		Amphisbainavirus JDuan-2023a Viruses.	Amphisbainavirus JDuan-2023a (reagents metagenome)
OR537221.1	OR537221	MAG: Amphisbainavirus JDuan-2023a isolate FDB7, complete genome [Contaminant]	936		Amphisbainavirus JDuan-2023a Viruses.	Amphisbainavirus JDuan-2023a (reagents metagenome)
OR537222.1	OR537222	MAG: Amphisbainavirus JDuan-2023a isolate FDB8, complete genome [Contaminant]	1838		Amphisbainavirus JDuan-2023a Viruses.	Amphisbainavirus JDuan-2023a (reagents metagenome)
MZ824229.1	MZ824229	Reagent-associated tombus-like virus 1 isolate 3 replicase-like gene, partial sequence [Contaminant]	1204	Viruses;Riboviria;Orthornavirae;Kitrinoviricota;Tolucaviricetes;Tolivirales;Tombusviridae	Reagent-associated tombus-like virus 1	Reagent-associated tombus-like virus 1
